"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-05-28,148,24.8920833333333,27.53,23.38,5.2,89.8208333333333,"Outono"
2009-05-29,149,25.0689583333333,30.44,22.6,9,85.9410416666667,"Outono"
2009-05-30,150,24.7914583333333,30.24,22.28,11.6,86.7091666666667,"Outono"
2009-05-31,151,24.9039583333333,30.43,22.58,8.4,88.165,"Outono"
2009-06-01,152,24.949375,30.53,22.82,5.6,88.151875,"Outono"
2009-06-02,153,24.8772916666667,28.09,22.26,50.6,88.0645833333333,"Outono"
2009-06-03,154,23.9385416666667,25.73,23.14,27.8,93.875,"Outono"
2009-06-04,155,24.8733333333333,29.14,22.59,3,88.399375,"Outono"
2009-06-05,156,25.1004166666667,29.82,22.69,16.4,87.1875,"Outono"
2009-06-06,157,24.1416666666667,26.71,22.47,4.2,91.6708333333333,"Outono"
2009-06-07,158,25.2635416666667,29.72,22.53,3.2,86.231875,"Outono"
2009-06-08,159,24.1708333333333,27.38,22.5,4.8,91.4895833333333,"Outono"
2009-06-09,160,24.2772916666667,28.9,22.38,0.4,89.8277083333333,"Outono"
2009-06-10,161,23.905,27.8,22.66,7.6,91.7166666666667,"Outono"
2009-06-11,162,24.4029166666667,28.77,22.12,1.4,90.4416666666667,"Outono"
2009-06-12,163,23.9285416666667,25.68,22.43,22.6,91.9041666666667,"Outono"
2009-06-13,164,24.9852083333333,30.81,22.29,1.6,86.6847916666667,"Outono"
2009-06-14,165,24.0572916666667,27.75,22.69,11.4,92.4958333333333,"Outono"
2009-06-15,166,23.9804166666667,26.53,22.57,6.2,91.5625,"Outono"
2009-06-16,167,25.3320833333333,29.25,21.71,3.6,83.1672916666667,"Outono"
2009-06-17,168,25.13,28.25,23.16,0,86.9729166666667,"Outono"
2009-06-18,169,24.9747916666667,30.68,22.15,3,87.9397916666667,"Outono"
2009-06-19,170,26.9155319148936,NA,NA,0.4,NA,"Outono"
2009-06-20,171,27.3458333333333,30.86,24.06,0,71.2741666666667,"Outono"
2009-06-21,172,27.1339583333333,30.79,23.86,0,75.25,"Inverno"
2009-06-22,173,26.6010416666667,30.03,24.02,0.4,80.2614583333333,"Inverno"
2009-06-23,174,24.465625,30.12,22.84,23,90.586875,"Inverno"
2009-06-24,175,23.483125,27.22,21.81,0.6,91.8583333333333,"Inverno"
2009-06-25,176,24.29125,29.59,20.87,16.8,87.3664583333333,"Inverno"
2009-06-26,177,25.2814583333333,30.04,23.02,1.2,84.04875,"Inverno"
2009-06-27,178,25.5720833333333,29.7,22.42,1.8,81.7016666666667,"Inverno"
2009-06-28,179,25.09625,29.26,22.48,11.4,86.4764583333333,"Inverno"
2009-06-29,180,26.9829166666667,31.29,23.68,6.4,73.9810416666667,"Inverno"
2009-06-30,181,25.9935416666667,31.65,23.33,13.6,78.9891666666667,"Inverno"
2009-07-01,182,26.5870833333333,30.61,22.7,1.4,76.4577083333333,"Inverno"
2009-07-02,183,26.2595833333333,30.83,23.47,7.8,77.8595833333333,"Inverno"
2009-07-03,184,27.1835416666667,31.47,23.32,1.6,74.6947916666667,"Inverno"
2009-07-04,185,27.1720833333333,31.58,23.05,0,73.4077083333333,"Inverno"
2009-07-05,186,24.5479166666667,26.71,22.59,5.2,89.3583333333333,"Inverno"
2009-07-06,187,24.9120833333333,30.57,21.62,0.6,85.6504166666667,"Inverno"
2009-07-07,188,25.04125,29.94,22.11,19.8,83.915,"Inverno"
2009-07-08,189,25.4202083333333,30.04,22.75,1.4,81.23625,"Inverno"
2009-07-09,190,26.031875,29.93,23.34,0,81.0533333333333,"Inverno"
2009-07-10,191,25.1066666666667,30.57,22.53,0.2,83.9558333333333,"Inverno"
2009-07-11,192,26.9227083333333,31.68,21.83,0.2,74.3191666666667,"Inverno"
2009-07-12,193,27.445625,32.02,22.96,0,68.1664583333333,"Inverno"
2009-07-13,194,27.7758333333333,32.15,22.69,0,64.7202083333333,"Inverno"
2009-07-14,195,27.3622916666667,30.86,23.07,0,68.7575,"Inverno"
2009-07-15,196,24.1325,27.96,22.37,45.8,89.4520833333333,"Inverno"
2009-07-16,197,26.3579166666667,31.18,21.81,0,78.559375,"Inverno"
2009-07-17,198,26.6527083333333,30.54,24.42,2.8,76.5554166666667,"Inverno"
2009-07-18,199,25.94875,30.46,22.93,1.4,82.8864583333333,"Inverno"
2009-07-19,200,24.70875,28.88,23.03,11.2,88.3145833333333,"Inverno"
2009-07-20,201,26.529375,31.4,22.29,0,76.4397916666667,"Inverno"
